,POA_CODE_2021,SA3_CODE_2021,SA3_NAME_2021,GCCSA_NAME_2021,METRO_AREA
1127,6106,50603,Canning,Greater Perth,Greater Perth
1128,6107,50603,Canning,Greater Perth,Greater Perth
1129,6108,50604,Gosnells,Greater Perth,Greater Perth
1130,6109,50604,Gosnells,Greater Perth,Greater Perth
1131,6110,50604,Gosnells,Greater Perth,Greater Perth
1132,6111,50601,Armadale,Greater Perth,Greater Perth
1133,6112,50601,Armadale,Greater Perth,Greater Perth
1134,6121,50606,Serpentine - Jarrahdale,Greater Perth,Greater Perth
1135,6122,50606,Serpentine - Jarrahdale,Greater Perth,Greater Perth
1136,6123,50606,Serpentine - Jarrahdale,Greater Perth,Greater Perth
1137,6124,50606,Serpentine - Jarrahdale,Greater Perth,Greater Perth
1138,6125,50606,Serpentine - Jarrahdale,Greater Perth,Greater Perth
1139,6126,50606,Serpentine - Jarrahdale,Greater Perth,Greater Perth
1140,6147,50603,Canning,Greater Perth,Greater Perth
1141,6148,50603,Canning,Greater Perth,Greater Perth
1142,6149,50701,Cockburn,Greater Perth,Greater Perth
1143,6150,50704,Melville,Greater Perth,Greater Perth
1144,6151,50607,South Perth,Greater Perth,Greater Perth
1145,6152,50607,South Perth,Greater Perth,Greater Perth
1146,6153,50704,Melville,Greater Perth,Greater Perth
1147,6154,50704,Melville,Greater Perth,Greater Perth
1148,6155,50603,Canning,Greater Perth,Greater Perth
1149,6156,50704,Melville,Greater Perth,Greater Perth
1150,6157,50704,Melville,Greater Perth,Greater Perth
1151,6158,50702,Fremantle,Greater Perth,Greater Perth
1152,6159,50702,Fremantle,Greater Perth,Greater Perth
1153,6160,50702,Fremantle,Greater Perth,Greater Perth
1154,6161,50702,Fremantle,Greater Perth,Greater Perth
1155,6162,50702,Fremantle,Greater Perth,Greater Perth
1156,6163,50701,Cockburn,Greater Perth,Greater Perth
1157,6164,50701,Cockburn,Greater Perth,Greater Perth
1158,6165,50703,Kwinana,Greater Perth,Greater Perth
1159,6166,50701,Cockburn,Greater Perth,Greater Perth
1160,6167,50703,Kwinana,Greater Perth,Greater Perth
1161,6168,50705,Rockingham,Greater Perth,Greater Perth
1162,6169,50705,Rockingham,Greater Perth,Greater Perth
1163,6170,50703,Kwinana,Greater Perth,Greater Perth
1164,6171,50705,Rockingham,Greater Perth,Greater Perth
1165,6172,50705,Rockingham,Greater Perth,Greater Perth
1166,6173,50705,Rockingham,Greater Perth,Greater Perth
1167,6174,50705,Rockingham,Greater Perth,Greater Perth
1168,6175,50705,Rockingham,Greater Perth,Greater Perth
1169,6176,50705,Rockingham,Greater Perth,Greater Perth
1170,6180,50201,Mandurah,Greater Perth,Greater Perth
1171,6181,50201,Mandurah,Greater Perth,Greater Perth
1172,6182,50705,Rockingham,Greater Perth,Greater Perth
1173,6207,50201,Mandurah,Greater Perth,Greater Perth
1174,6208,50201,Mandurah,Greater Perth,Greater Perth
1175,6209,50201,Mandurah,Greater Perth,Greater Perth
1176,6210,50201,Mandurah,Greater Perth,Greater Perth
1177,6211,50201,Mandurah,Greater Perth,Greater Perth
1178,6214,50201,Mandurah,Greater Perth,Greater Perth
1179,6556,50402,Mundaring,Greater Perth,Greater Perth
1180,6558,50402,Mundaring,Greater Perth,Greater Perth
1181,7000,60105,Hobart Inner,Greater Hobart,Greater Hobart
1182,7004,60105,Hobart Inner,Greater Hobart,Greater Hobart
1183,7005,60105,Hobart Inner,Greater Hobart,Greater Hobart
1184,7007,60105,Hobart Inner,Greater Hobart,Greater Hobart
1185,7008,60105,Hobart Inner,Greater Hobart,Greater Hobart
1186,7009,60103,Hobart - North West,Greater Hobart,Greater Hobart
1187,7010,60103,Hobart - North West,Greater Hobart,Greater Hobart
1188,7011,60103,Hobart - North West,Greater Hobart,Greater Hobart
1189,7012,60103,Hobart - North West,Greater Hobart,Greater Hobart
1190,7015,60102,Hobart - North East,Greater Hobart,Greater Hobart
1191,7016,60102,Hobart - North East,Greater Hobart,Greater Hobart
1192,7017,60101,Brighton,Greater Hobart,Greater Hobart
1193,7018,60102,Hobart - North East,Greater Hobart,Greater Hobart
1194,7019,60102,Hobart - North East,Greater Hobart,Greater Hobart
1195,7020,60102,Hobart - North East,Greater Hobart,Greater Hobart
1196,7021,60102,Hobart - North East,Greater Hobart,Greater Hobart
1197,7022,60102,Hobart - North East,Greater Hobart,Greater Hobart
1198,7023,60102,Hobart - North East,Greater Hobart,Greater Hobart
1199,7024,60102,Hobart - North East,Greater Hobart,Greater Hobart
1200,7025,60102,Hobart - North East,Greater Hobart,Greater Hobart
1201,7026,60106,Sorell - Dodges Ferry,Greater Hobart,Greater Hobart
1202,7030,60101,Brighton,Greater Hobart,Greater Hobart
1203,7050,60104,Hobart - South and West,Greater Hobart,Greater Hobart
1204,7052,60104,Hobart - South and West,Greater Hobart,Greater Hobart
1205,7053,60104,Hobart - South and West,Greater Hobart,Greater Hobart
1206,7054,60104,Hobart - South and West,Greater Hobart,Greater Hobart
1207,7055,60104,Hobart - South and West,Greater Hobart,Greater Hobart
1208,7109,60104,Hobart - South and West,Greater Hobart,Greater Hobart
1209,7140,60103,Hobart - North West,Greater Hobart,Greater Hobart
1210,7150,60104,Hobart - South and West,Greater Hobart,Greater Hobart
1211,7170,60102,Hobart - North East,Greater Hobart,Greater Hobart
1212,7171,60102,Hobart - North East,Greater Hobart,Greater Hobart
1213,7172,60106,Sorell - Dodges Ferry,Greater Hobart,Greater Hobart
1214,7173,60106,Sorell - Dodges Ferry,Greater Hobart,Greater Hobart
1215,7174,60106,Sorell - Dodges Ferry,Greater Hobart,Greater Hobart
1216,7175,60106,Sorell - Dodges Ferry,Greater Hobart,Greater Hobart
1217,7176,60106,Sorell - Dodges Ferry,Greater Hobart,Greater Hobart
1218,7177,60106,Sorell - Dodges Ferry,Greater Hobart,Greater Hobart
